,Valor,Calificacion,Area
200,638275,1.0,261
201,595907,8.0,4868
202,1133920,9.0,932
203,961946,10.0,3350
204,1024100,6.0,1157
205,402193,5.0,3734
206,876312,5.0,4827
207,989937,6.0,1113
208,527748,2.0,3633
209,956131,3.0,2122
210,810434,5.0,317
211,584199,10.0,1443
212,898831,8.0,2865
213,1074976,6.0,4941
214,930877,2.0,1300
215,878786,2.0,4160
216,906322,10.0,2319
217,964141,4.0,2777
218,738636,7.0,4773
220,865424,2.0,712
221,1131186,5.0,3540
222,1005401,10.0,2207
223,520079,7.0,681
224,856839,7.0,3171
225,591968,2.0,589
226,981809,6.0,2563
227,1019766,7.0,170
228,1126514,5.0,4012
229,1144251,2.0,160
230,571079,3.0,2149
231,1006159,4.0,1934
232,936736,6.0,2281
233,1081953,5.0,1153
235,710670,10.0,3486
236,478846,5.0,2884
237,936024,6.0,4218
239,989265,2.0,222
240,1022231,9.0,1112
241,415925,1.0,2328
242,435110,8.0,3017
243,798128,6.0,2335
244,879350,6.0,1771
245,800961,2.0,3479
246,1136139,8.0,1820
247,820089,6.0,3049
250,824604,10.0,517
251,574613,7.0,1619
252,1124954,3.0,4311
253,665089,6.0,4067
255,1071427,9.0,4403
256,379049,8.0,542
257,1008969,2.0,3985
258,768133,6.0,549
260,937920,1.0,2881
261,759087,7.0,2176
262,1139528,6.0,3809
263,660836,5.0,440
264,372354,7.0,936
265,467353,9.0,909
266,1025466,7.0,4366
267,860311,5.0,565
268,391525,4.0,552
269,1013935,8.0,1767
270,759399,8.0,393
271,1053172,6.0,2058
272,982468,2.0,4802
274,793948,2.0,4651
275,781859,6.0,301
277,1109041,3.0,1667
278,830420,10.0,4783
279,829115,2.0,679
280,405678,6.0,2348
281,1142283,7.0,4922
282,568348,1.0,2728
283,895385,4.0,4208
284,1062427,9.0,4334
286,659780,3.0,4039
287,637196,4.0,2217
289,1122291,1.0,1183
291,824670,8.0,1262
292,1081560,6.0,3444
293,997665,6.0,4296
294,678993,6.0,2249
295,1103392,8.0,3902
296,879019,1.0,1608
297,383496,8.0,3599
298,1104446,7.0,2844
300,551588,3.0,3306
301,531774,3.0,3853
302,893577,8.0,448
303,555714,4.0,2076
304,1066541,4.0,2803
305,956941,4.0,1003
306,537383,6.0,3619
307,525277,9.0,2546
308,355694,8.0,1762
309,1069276,9.0,284
310,1130151,3.0,1218
311,368297,3.0,3072
313,943513,1.0,4838
314,801139,7.0,1276
315,1047796,8.0,706
316,667187,6.0,2163
317,859055,9.0,3363
318,874998,1.0,2250
319,629193,7.0,4101
320,818600,6.0,4815
321,634215,2.0,396
322,645588,9.0,1477
324,507814,5.0,1669
325,540052,2.0,933
326,465512,3.0,2072
328,463418,7.0,165
329,771659,6.0,459
330,1009936,6.0,1364
331,911221,9.0,443
332,974501,9.0,729
333,1054810,8.0,201
334,470996,5.0,680
335,988976,7.0,2896
337,817683,2.0,2413
339,372866,4.0,4544
341,380783,2.0,3458
342,850911,2.0,1552
343,592136,9.0,1493
346,1019877,4.0,819
347,1122699,3.0,173
348,355537,6.0,2103
349,509108,6.0,1180
350,1037241,1.0,1772
351,1009468,2.0,3035
352,571928,1.0,4290
353,966591,1.0,660
354,1013132,8.0,4983
355,613730,2.0,839
357,842193,3.0,4522
358,374314,1.0,4050
359,492498,1.0,4092
360,889914,9.0,3372
361,762178,6.0,3594
362,912869,9.0,3566
363,774748,6.0,2101
364,417512,7.0,1702
365,465110,3.0,2971
366,859077,1.0,1065
367,803755,10.0,418
368,818888,6.0,3141
369,766212,3.0,3413
370,480138,5.0,1413
371,524223,6.0,3296
373,428442,10.0,1577
374,1034433,2.0,4397
375,1133710,9.0,538
376,907375,3.0,1004
377,766848,3.0,4029
378,493096,9.0,4683
379,624100,3.0,3675
380,1033337,2.0,3672
381,391985,3.0,4041
382,1001543,7.0,3655
383,744021,10.0,2983
384,628924,10.0,4813
385,656429,9.0,3140
386,798296,5.0,259
387,900154,10.0,4165
388,1090710,1.0,3861
389,837129,4.0,3412
390,409945,6.0,942
391,554886,9.0,698
392,695473,9.0,523
393,636930,2.0,4209
394,928444,3.0,4656
395,448938,4.0,1585
396,1020744,2.0,1233
397,1133706,8.0,4543
398,581980,2.0,1676
399,740687,1.0,3127
400,402547,5.0,734
401,930843,6.0,2664
402,738184,7.0,2036
403,767204,7.0,3882
404,1066844,2.0,4893
405,395254,2.0,3878
406,941904,8.0,4518
407,923236,1.0,4336
408,987427,2.0,1718
409,1127336,4.0,3077
410,506970,6.0,3887
411,1127352,1.0,2667
412,1022088,2.0,4615
413,884491,9.0,2522
414,430182,6.0,669
415,442172,6.0,917
417,576236,4.0,3114
418,907764,3.0,4543
419,864249,7.0,4135
420,624296,6.0,3090
421,930582,4.0,1658
422,813397,10.0,3776
423,1025217,1.0,3527
425,432901,6.0,4920
426,953599,8.0,1775
427,425098,1.0,4643
429,698003,8.0,2364
430,557600,6.0,494
431,846664,1.0,3374
432,991128,9.0,1907
434,531134,8.0,1020
435,693016,4.0,372
436,971410,1.0,255
437,397733,9.0,2538
438,441599,5.0,2028
439,809059,3.0,2587
440,1031925,5.0,877
441,561630,6.0,552
442,451672,1.0,928
443,668707,3.0,2391
444,806037,4.0,4248
445,644882,3.0,1327
446,490950,8.0,2984
447,402741,2.0,4062
448,641561,3.0,4850
449,540913,4.0,2398
450,795142,1.0,3461
451,604084,1.0,3276
453,551344,2.0,4524
454,425472,9.0,1968
455,566980,6.0,4056
457,403877,6.0,1247
458,890343,6.0,1894
459,499506,7.0,1166
460,881117,10.0,3152
461,515124,1.0,282
462,760933,4.0,280
463,426689,1.0,367
464,566513,7.0,642
465,725073,6.0,556
467,959222,5.0,704
468,937700,10.0,1273
469,1042175,6.0,4265
470,1111160,8.0,4445
471,617916,4.0,1056
472,698510,6.0,473
473,585963,4.0,1194
474,1122721,10.0,2368
475,918445,8.0,2713
476,1083881,9.0,2772
477,717461,7.0,3120
479,392893,8.0,3874
480,547441,4.0,3460
481,359186,6.0,3141
482,687171,1.0,3528
483,996698,6.0,4952
484,491751,9.0,3803
485,562394,3.0,4135
486,350420,6.0,3522
487,739844,8.0,1412
488,524759,5.0,3711
489,578433,1.0,390
490,955069,6.0,1228
491,1021777,7.0,2704
492,812848,4.0,849
494,790280,7.0,3429
495,817355,6.0,1149
497,1110129,7.0,1658
498,414560,5.0,882
499,762652,6.0,3249
500,660140,7.0,4284
501,912880,7.0,973
503,992348,9.0,363
504,799441,2.0,897
505,453617,1.0,3209
506,877078,5.0,1559
507,952670,7.0,4266
508,907543,4.0,3738
509,923465,5.0,2783
510,525166,6.0,3681
511,1013584,5.0,445
513,1119214,9.0,2891
514,586030,8.0,3013
515,755302,8.0,4778
516,976254,1.0,3096
517,690514,10.0,4205
518,1010412,10.0,3627
519,745406,5.0,4680
520,700589,6.0,1497
521,772498,3.0,3044
522,514195,1.0,3789
523,662226,10.0,1617
524,402931,6.0,3161
525,654735,9.0,4472
526,586379,10.0,754
527,946632,9.0,453
529,611872,4.0,977
530,652246,5.0,1196
531,370823,1.0,2684
532,790317,5.0,2050
533,723418,7.0,1538
534,412932,2.0,1984
536,1107033,4.0,3029
537,473111,9.0,1039
538,758650,6.0,3997
539,1059512,9.0,3755
540,1076633,1.0,4754
541,1131521,5.0,3833
542,685160,9.0,813
543,654681,6.0,3259
545,861284,2.0,2500
546,1092294,3.0,1885
547,583836,2.0,699
548,734116,9.0,3818
549,985968,5.0,365
550,702420,10.0,3491
551,877383,7.0,4954
552,427176,7.0,2038
554,695458,8.0,3776
555,493395,1.0,4669
557,462967,3.0,4089
558,996174,5.0,1560
559,879924,2.0,952
560,1057149,3.0,4085
561,1054967,8.0,3177
562,923457,10.0,2128
563,887455,9.0,4093
564,1071711,5.0,3499
565,579406,3.0,4947
566,470338,9.0,4043
567,1034488,6.0,4930
570,487529,1.0,1355
572,841541,6.0,3534
573,736219,6.0,4744
574,850804,2.0,3708
575,640621,2.0,2718
576,417748,7.0,873
578,545775,5.0,208
579,917536,5.0,2795
580,361867,9.0,2637
581,556415,3.0,1315
583,1041302,4.0,3735
584,811024,1.0,1107
585,804812,6.0,4442
586,1047306,2.0,1653
587,1106698,10.0,4426
588,394716,6.0,1800
590,706180,7.0,661
591,961265,8.0,376
592,1096812,9.0,3120
593,1100902,8.0,4134
594,1128396,8.0,848
595,1113976,4.0,943
596,447187,8.0,1841
597,926144,9.0,4802
598,617805,8.0,3723
599,1078269,6.0,1714
600,1130173,8.0,2993
601,394139,7.0,570
602,762309,5.0,2434
603,906785,9.0,1361
604,724145,3.0,1219
605,702287,4.0,2661
606,708004,7.0,3459
607,995501,9.0,1165
608,1009109,2.0,4839
609,427467,4.0,4812
610,870979,6.0,3672
612,893332,4.0,1435
613,393490,2.0,3796
614,487366,7.0,4530
615,920678,8.0,3438
616,975224,2.0,4626
617,875207,5.0,3753
618,965051,6.0,1355
619,688406,6.0,2180
620,729610,6.0,4553
621,389981,6.0,834
622,917112,9.0,3119
623,1096395,9.0,4522
624,531337,1.0,399
625,990819,2.0,3540
627,1034637,2.0,4499
628,361387,1.0,452
629,476704,6.0,4485
630,585626,1.0,4228
631,971432,5.0,3372
632,933950,1.0,2260
633,823030,6.0,151
634,1145120,4.0,748
635,436864,1.0,1763
636,1027363,1.0,731
637,832933,2.0,4731
638,1041914,1.0,3964
639,906578,5.0,2543
640,469919,4.0,2535
641,1014124,3.0,4718
642,656413,9.0,638
643,395359,3.0,1800
644,690427,5.0,500
645,1056846,2.0,3787
646,1020698,2.0,293
647,881091,2.0,3441
648,515257,8.0,2145
649,893547,9.0,1450
650,583087,8.0,2484
653,1076830,10.0,4417
654,913292,1.0,1095
656,631781,10.0,1377
657,991849,10.0,3575
658,476561,2.0,1135
659,1114069,4.0,4363
660,1054600,2.0,4798
662,778885,5.0,216
663,1072610,4.0,2275
664,1022914,4.0,289
665,1054542,1.0,2900
666,562972,4.0,3746
667,785782,4.0,4350
668,859773,8.0,3429
669,848145,10.0,4916
670,369999,3.0,2291
671,597924,4.0,4729
672,974808,4.0,2709
673,615441,4.0,4282
674,845315,8.0,2673
675,1001383,8.0,4898
676,379518,1.0,2809
677,1081596,1.0,2199
678,702951,9.0,2676
679,828859,9.0,1489
680,1058926,10.0,1291
681,876229,3.0,2172
682,583740,4.0,3571
683,834678,2.0,1259
684,1033047,6.0,2120
685,693789,1.0,2311
686,1115015,6.0,3173
687,1083376,9.0,4153
688,657353,9.0,292
689,702643,2.0,2720
690,738035,2.0,1327
691,379019,3.0,3086
692,970910,3.0,4993
693,1110570,4.0,2837
694,485108,6.0,2513
695,665353,3.0,3487
696,765601,1.0,183
697,538788,1.0,4181
698,553038,5.0,3923
699,556917,4.0,2910
701,354287,2.0,1112
702,568983,4.0,2858
703,703381,6.0,3878
704,442134,3.0,2880
705,994516,6.0,3652
706,816103,6.0,3732
708,611992,8.0,1597
709,422976,8.0,465
710,677131,6.0,4836
711,1118283,4.0,3632
712,970453,3.0,3445
714,684605,4.0,3626
715,1029964,3.0,909
716,948351,6.0,1274
717,978414,5.0,1423
718,1074447,6.0,1734
719,456108,1.0,1280
721,981403,7.0,1345
722,711708,6.0,153
723,1139395,10.0,4938
724,895911,3.0,2555
725,446639,4.0,539
726,466576,1.0,3483
727,575087,9.0,268
728,607444,6.0,3668
729,413631,4.0,4689
730,976469,8.0,1968
731,881146,4.0,4966
732,385480,6.0,4296
733,355084,5.0,1367
734,1090562,9.0,2679
735,528561,8.0,284
736,489372,5.0,4748
737,919239,4.0,3624
738,798652,6.0,668
740,743041,5.0,4342
741,862951,4.0,251
742,683995,10.0,3605
743,747280,4.0,4950
744,499882,8.0,2268
746,571932,8.0,3860
747,424584,7.0,1507
748,762489,7.0,2390
749,1096155,8.0,2259
750,1012230,2.0,4932
751,438368,5.0,1150
752,632969,2.0,1344
753,800330,8.0,1728
756,778270,5.0,3324
758,775431,6.0,1200
759,512955,6.0,211
761,363575,6.0,3043
763,778810,2.0,1184
764,822686,2.0,1307
766,643267,6.0,2310
767,1098408,2.0,4160
768,1065157,6.0,2401
769,959929,4.0,339
770,886685,6.0,565
771,552431,5.0,4490
772,576690,2.0,1105
773,769911,4.0,2751
774,404692,6.0,587
775,957596,10.0,1431
776,775472,7.0,4241
778,389408,8.0,1627
780,578592,8.0,1121
781,469868,6.0,4231
782,806257,3.0,4271
784,655435,7.0,864
787,1058379,10.0,4972
789,1034089,1.0,1059
790,1063276,8.0,4617
791,429260,10.0,1170
792,978226,3.0,1787
793,395360,8.0,3798
794,1017929,8.0,1111
797,451259,6.0,1054
798,986941,4.0,4188
799,640868,6.0,4674
800,1146038,6.0,2589
801,484793,5.0,623
802,354792,7.0,1354
804,941130,8.0,2106
805,825224,3.0,990
807,927504,8.0,948
808,960206,10.0,2876
811,732377,9.0,3145
812,668818,5.0,1903
813,367867,2.0,4074
814,1106914,5.0,2391
815,835856,6.0,301
816,841806,5.0,945
817,1029030,9.0,2775
818,802070,4.0,3722
819,958209,6.0,410
820,985434,7.0,3267
821,909873,5.0,4956
822,480057,4.0,4685
824,417781,5.0,2001
826,516431,2.0,3338
827,962252,2.0,3366
828,870586,5.0,693
829,579919,2.0,1498
830,350052,10.0,4898
831,868230,5.0,2817
832,998461,1.0,1569
833,720238,5.0,2810
835,1066746,9.0,4250
836,825317,6.0,3152
837,472975,6.0,4762
838,980811,1.0,2614
839,970096,5.0,4815
841,385505,3.0,4352
842,688991,1.0,890
843,1106196,5.0,1155
844,464717,6.0,2364
845,940780,8.0,4916
846,1061482,1.0,2895
847,927223,6.0,1945
848,366538,1.0,2786
849,514458,5.0,344
850,1071544,6.0,1984
851,928052,8.0,3011
852,413806,5.0,2635
854,885931,6.0,3763
855,1123887,7.0,3029
856,771396,4.0,1052
857,1023254,6.0,882
858,769856,6.0,435
859,417212,4.0,714
860,459411,10.0,975
861,1080417,6.0,2393
862,922054,5.0,4565
863,965895,10.0,2603
864,407207,9.0,2571
865,531897,3.0,2925
867,1120467,8.0,4636
868,928671,3.0,3415
869,806704,10.0,2126
870,536299,3.0,597
871,888628,6.0,2993
872,488329,2.0,594
873,633283,7.0,356
875,1072375,10.0,3720
876,631577,7.0,777
877,887538,10.0,4502
878,1076523,6.0,4637
879,621591,8.0,273
880,1034080,1.0,900
881,866767,6.0,1101
882,751462,3.0,963
883,439085,8.0,702
884,563294,6.0,1779
886,519942,9.0,1887
887,830650,9.0,3667
888,644547,8.0,2196
889,460330,5.0,3541
890,742662,4.0,402
891,746907,9.0,2740
892,795885,6.0,1214
893,761554,4.0,4925
895,1001275,6.0,2242
896,1016787,1.0,1131
897,1030593,7.0,1811
898,471376,2.0,4614
899,553349,9.0,4378
900,449813,3.0,4059
901,623797,1.0,4310
902,433732,8.0,568
903,921962,2.0,4972
905,472825,4.0,4431
906,779677,1.0,4942
907,1126427,1.0,1010
909,723506,3.0,4239
911,961489,3.0,1547
912,677880,5.0,1330
913,458417,2.0,3500
914,886459,1.0,867
915,940932,8.0,2413
916,545446,4.0,2765
917,622658,2.0,254
918,831618,3.0,4213
919,545814,5.0,4668
920,433549,6.0,3908
921,1058857,9.0,4606
922,446788,6.0,3868
923,676796,8.0,2335
924,635930,3.0,1010
926,755849,2.0,247
927,523824,6.0,1439
928,464652,2.0,4438
929,658152,2.0,790
931,577999,10.0,1961
932,740173,1.0,2396
933,775290,8.0,1645
934,811386,2.0,1383
935,473994,10.0,3790
936,892525,9.0,2679
938,435366,6.0,2491
939,1149005,9.0,1831
940,671223,6.0,264
942,850009,8.0,3649
943,435963,1.0,1025
944,1115894,1.0,2245
945,501565,7.0,2589
946,1060589,6.0,549
947,824104,1.0,3480
948,470611,6.0,3879
949,732877,4.0,3858
950,407677,6.0,1712
951,646720,1.0,220
952,1058220,6.0,3204
953,1106858,4.0,4709
954,720882,7.0,4285
956,1059522,9.0,3051
957,1109590,6.0,1313
958,1030246,7.0,4727
959,421323,1.0,1496
960,558947,7.0,3252
961,379202,8.0,4063
962,538169,9.0,3650
963,570875,4.0,4237
964,996261,3.0,2239
965,657280,8.0,3556
966,751492,9.0,1089
967,1081608,2.0,1624
968,764341,7.0,2523
969,531063,9.0,4896
970,663979,7.0,4119
971,766889,1.0,1753
972,655452,1.0,1971
973,548132,5.0,2976
974,1061538,4.0,4860
975,652616,6.0,3722
977,491257,7.0,443
978,1030213,3.0,2504
979,1089167,5.0,3519
980,647369,9.0,512
982,650786,5.0,333
983,983873,4.0,3765
984,952026,6.0,4511
985,973500,2.0,4565
986,1025372,1.0,4777
987,896639,8.0,430
988,797437,10.0,4747
989,973296,3.0,615
990,664143,8.0,3324
991,796916,9.0,987
992,899504,2.0,445
993,371439,3.0,807
994,604940,2.0,4354
995,739797,8.0,4317
996,501839,2.0,4770
997,1146257,2.0,4477
998,625171,5.0,712
999,516146,5.0,1674
1000,890703,3.0,175
1001,764357,7.0,3866
1003,1135301,10.0,2901
1004,523127,7.0,2512
1005,716270,1.0,902
1006,668836,4.0,2818
1007,759359,5.0,682
1008,477786,8.0,4309
1009,958459,1.0,3624
1010,893945,3.0,3927
1011,1071722,1.0,1599
1012,819489,9.0,4563
1013,799706,9.0,1640
1014,1134569,7.0,2986
1015,893559,6.0,4479
1017,479070,3.0,3809
1018,559702,3.0,746
1019,723545,6.0,3057
1020,493430,2.0,2321
1021,491864,1.0,4346
1023,847963,2.0,914
1024,542772,2.0,2906
1025,659887,4.0,1837
1026,651793,6.0,785
1027,895373,5.0,4254
1028,814036,7.0,2534
1029,924508,6.0,1873
1030,735685,4.0,4765
1031,866063,4.0,4045
1032,964032,3.0,269
1033,1060706,5.0,2208
1034,651534,4.0,3880
1035,499419,10.0,1064
1036,716625,6.0,2179
1037,545225,2.0,3023
1038,1016590,7.0,2287
1039,800506,8.0,2077
1040,895306,8.0,3610
1041,699675,9.0,4282
1042,771428,3.0,1037
1043,975066,7.0,2366
1044,877881,4.0,993
1045,618567,2.0,2502
1046,623189,5.0,4330
1047,1112125,4.0,512
1048,1137078,1.0,2380
1049,687818,6.0,956
1050,718116,2.0,4266
1051,573564,6.0,3339
1052,1137492,7.0,3582
1053,485442,3.0,931
1054,399260,6.0,3184
1056,749124,9.0,2138
1057,378158,2.0,2252
1058,947684,9.0,2743
1059,1032587,4.0,4413
1060,598812,1.0,2264
1061,1116963,2.0,4146
1062,965276,1.0,2580
1063,1055953,7.0,1849
1064,700719,10.0,3610
1065,606239,5.0,317
1067,656567,2.0,2519
1068,1087610,1.0,4528
1069,727430,5.0,1147
1070,614746,4.0,616
1071,641754,3.0,4458
1073,943925,6.0,1149
1074,749265,7.0,2221
1075,840555,6.0,3553
1076,1078580,5.0,3897
1077,952075,9.0,364
1078,966305,6.0,2258
1079,494769,8.0,2278
1080,1054634,8.0,1837
1081,437708,4.0,4174
1083,872571,4.0,3849
1084,559367,1.0,1067
1085,601459,5.0,4696
1086,901479,3.0,4178
1087,798563,4.0,1580
1088,794099,2.0,2214
1089,670985,7.0,203
1090,780617,6.0,2193
1091,787929,6.0,867
1092,611510,3.0,3663
1093,827075,6.0,4037
1094,405706,5.0,4532
1095,971935,1.0,1019
1096,910166,6.0,668
1097,1108724,7.0,2354
1098,671783,1.0,4272
1099,1008279,6.0,2086
1100,658906,6.0,1021
1101,591825,3.0,480
1103,831046,6.0,2470
1105,1073941,1.0,157
1107,913421,7.0,2603
1108,379197,3.0,4974
1109,524955,5.0,4382
1110,972847,6.0,4138
1113,995899,1.0,1644
1114,859762,4.0,407
1115,753266,3.0,3664
1116,599209,2.0,2464
1117,1124238,9.0,651
1118,744769,5.0,4594
1119,773994,3.0,4044
1120,463519,4.0,4092
1122,1050587,5.0,2945
1124,403382,3.0,157
1125,472568,7.0,724
1126,834482,9.0,2525
1127,773891,1.0,4599
1128,559939,3.0,3329
1129,441293,8.0,1503
1130,656107,6.0,4984
1131,914214,9.0,1445
1132,609147,3.0,4518
1133,887329,1.0,1088
1134,450754,4.0,925
1136,844747,10.0,4884
1137,810474,8.0,4982
1140,1047847,10.0,2032
1141,976998,1.0,4376
1142,643742,9.0,4887
1143,972123,2.0,1158
1144,793982,5.0,3109
1145,972120,10.0,1752
1147,432910,7.0,3197
1148,526070,2.0,2780
1149,1060340,9.0,2416
1150,365563,4.0,2903
1151,408449,7.0,642
1152,550646,10.0,4143
1153,1130313,6.0,4478
1154,882354,1.0,3349
1155,524375,5.0,632
1156,777937,2.0,4520
1157,1147161,8.0,4334
1158,380584,2.0,4847
1160,688436,6.0,969
1161,937089,9.0,930
1162,994947,3.0,2272
1163,641709,5.0,4428
1165,522517,6.0,396
1166,656112,4.0,680
1167,1061561,9.0,4669
1168,899538,7.0,3745
1169,814736,6.0,4654
1171,574441,3.0,237
1172,558553,5.0,2329
1174,390329,6.0,2656
1175,1144506,2.0,1818
1176,495339,1.0,1159
1177,1005215,1.0,4480
1178,966548,8.0,1592
1179,496612,3.0,1043
1180,870889,8.0,3418
1181,356339,1.0,2434
1182,950898,1.0,3306
1184,591290,5.0,3930
1185,950750,9.0,4301
1187,493250,10.0,4541
1188,925563,6.0,4587
1189,996887,6.0,543
1190,650794,4.0,4532
1191,448667,7.0,1987
1192,783588,6.0,3006
1193,1130808,6.0,1229
1194,1041961,1.0,1734
1195,1086765,7.0,4539
1196,849636,5.0,504
1198,454438,6.0,279
1199,408297,1.0,3482
1200,466978,6.0,4715
1201,850649,3.0,2254
1202,1129414,3.0,1299
1204,370678,9.0,2968
1205,506373,1.0,1373
1206,564793,9.0,3094
1207,893158,6.0,4247
1208,386103,1.0,951
1209,472906,1.0,4610
1210,866747,10.0,3642
1212,554402,5.0,1915
1213,693625,6.0,4457
1214,833595,8.0,1309
1215,848285,1.0,359
1216,790211,6.0,2218
1217,944466,9.0,2596
1218,506481,4.0,3223
1220,598241,3.0,550
1221,593815,4.0,3648
1222,622133,8.0,3050
1223,872072,2.0,2263
1224,1050241,6.0,3857
1225,635711,6.0,392
1226,979724,3.0,309
1227,1008942,5.0,1229
1228,952975,5.0,3523
1229,417872,9.0,4433
1231,961685,7.0,1004
1234,947308,7.0,1770
1235,961831,5.0,3398
1237,365571,6.0,1286
1238,845308,8.0,1965
1239,795479,5.0,348
1240,394579,6.0,1587
1241,941843,8.0,3615
1242,977741,7.0,632
1243,999907,7.0,1473
1244,408667,1.0,1050
1247,501241,10.0,2918
1248,881608,7.0,2999
1249,1111597,7.0,2040
1250,552129,1.0,2016
1251,1120836,10.0,586
1253,465525,4.0,2922
1254,434766,5.0,4493
1255,1068290,4.0,2221
1256,489752,7.0,222
1257,775402,6.0,4290
1258,1088419,1.0,1679
1259,837826,1.0,568
1260,1134448,3.0,2466
1261,603716,8.0,2741
1263,640497,2.0,3324
1264,541356,6.0,1922
1265,872870,3.0,4657
1266,522293,6.0,674
1267,998755,3.0,1834
1268,535251,1.0,2078
1269,796193,2.0,2600
1271,1033276,9.0,1843
1272,352668,4.0,1635
1273,525057,1.0,4191
1274,602949,1.0,851
1275,947059,2.0,4281
1276,594364,6.0,2803
1277,754677,7.0,3107
1278,828040,4.0,3543
1279,1036762,1.0,4058
1280,544646,5.0,3569
1281,1003183,3.0,2702
1282,684146,10.0,4914
1283,1054893,3.0,3718
1284,936625,3.0,1574
1285,587462,2.0,4925
1286,697160,6.0,2532
1287,975217,9.0,597
1288,481529,6.0,2029
1289,377853,7.0,3395
1290,1128727,9.0,3201
1292,569959,9.0,1638
1293,884960,7.0,1480
1294,417283,9.0,4334
1295,1008085,5.0,3798
1296,1039359,8.0,1150
1297,898413,8.0,4141
1298,710371,4.0,4865
1300,906877,6.0,613
